指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
年末总人口(万人),141008,140541,140011,139232,138326,137646,136726,135922
0-14岁人口(万人),23689,23751,23522,23252,22824,22712,22423,22427
15-64岁人口(万人),99552,100065,100528,100943,100978,101032,101041,100718
65岁及以上人口(万人),17767,16724,15961,15037,14524,13902,13262,12777
总抚养比(%),41.5,40.4,39.3,37.9,37,36.2,35.3,34.9
少儿抚养比(%),23.8,23.7,23.4,22.9,22.6,22.5,22.2,22.2
老年抚养比(%),17.8,16.8,15.9,15,14.3,13.7,13.1,12.7
注：1.1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据；2011—2019年数据根据2020年人口普查数据修订。,,,,,,,,
　　　2.总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。,,,,,,,,
数据来源：国家统计局,,,,,,,,
