指标,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
广播节目综合人口覆盖率(%),99.4,99.1,98.9,98.7,98.4,98.2,98,97.8,97.5,97.1
农村广播人口覆盖率(%),99.2,98.8,98.6,98.2,97.8,97.5,97.3,97,96.6,96.1
广播节目套数(套),,,,,,,,2644,2634,2590
公共广播节目套数(套),2932,2914,2900,2825,2741,2782,2686,2637,2627,2587
付费广播节目套数(套),,,,,,,,7,7,3
公共广播节目播出时间(小时),15807230,15534000,15267407,14918800,14565000,14218253,14058328,13795461,13383651,13057496
制作广播节目时间(小时),8210448,8018667,8017573,7888254,7820296,7718163,7647267,7391245,7188245,6936960
电视节目综合人口覆盖率(%),99.6,99.4,99.3,99.1,98.9,98.8,98.6,98.4,98.2,97.8
农村电视人口覆盖率(%),99.4,99.2,99,98.7,98.5,98.3,98.1,97.9,97.6,97.1
全国有线广播电视用户数(万户),20745,20661,21832,21446,22830,23567,23458,22894,21509,20264
农村有线广播电视用户数(万户),7055,7074,7404,7504,8093,8250,7986,8911,8432,8123
数字电视用户数(万户),19889,19417,20144,19404,20157,19776,19143,17160,14303,11489
电视节目套数(套),,,,,,,,3338,3353,3370
公共电视节目套数(套),3603,3609,3559,3493,3360,3442,3329,3250,3273,3274
付费电视节目套数(套),,,,,,,,88,80,96
公共电视节目播出时间(小时),19883117,19510000,19250257,18810190,17924000,17796010,17476126,17057212,16985291,16753029
电视剧播出部数(万部),21.27,21.11,21.76,23.13,22.72,23.31,23.28,24.1,24.23,24.71
进口电视剧播出部数(部),392,500,811,1473,2400,2889,2878,3616,4872,6377
电视剧播出集数(万集),739.38,722.94,707.7,698.74,688.64,686.36,669,661.42,662.2,663.63
进口电视剧播出集数(万集),1.18,1.49,2.65,4.03,7.25,8.15,8.05,9.89,10.71,16.64
动画电视播出数(小时),446113,398700,374485,362800,328900,309100,304839,293140,304877,280255
进口动画电视播出数(小时),7058,5200,8879,11479,8900,9700,15883,14015,12063,14822
制作电视节目时间(小时),3282440,3455809,3577444,3651775,3507217,3520190,3277394,3397834,3436301,2950490
国有电影制片厂数(个),,,,38,38,38,38,38,38,38
电影故事片厂数(个),,,,31,31,31,31,31,31,31
电影院线(条),51,50,48,48,48,46,45,42,40,39
电影院线内银幕(块),75581,69787,60079,50776,41129,31600,23600,18195,13118,2803
全国电影综合收入(亿元),204.17,642.66,609.76,,,,,,208.17,9286
国内电影票房收入(亿元),170.93,411.75,378.97,301.04,287.47,271.36,161.55,127.67,170.73,177.47
全国电影票房收入(亿元),204.17,642.66,609.76,559.11,492.83,440.69,296.39,217.69,,131.15
国产电影票房收入(亿元),170.93,411.75,378.97,301.04,287.47,271.36,161.55,127.67,,
进口电影票房收入(亿元),33.24,230.91,230.79,258.07,205.36,169.33,134.84,90.02,,
电视播映收入(亿元),,,,,,,,,26.81,
国产影片海外销售收入(亿元),,,,,,,,,10.63,25.86
全国广播电视总收入(亿元),,,6952.14,6070.21,5039.77,4634.56,4226.27,3734.88,3268.79,20.46
全国广播电视从业人员数(万人),,,97.89,97.69,91.93,90.07,86.44,84.43,82.04,2717.32
中、短波转播发射台(座),,,,,862,860,856,850,849,78.64
调频转播发射台(座),,,,,14531,14941,9259,10334,11396,827
电视转播发射台(座),,,,,,,11254,13365,14843,11403
微波实有站(座),,,,,1988,2121,2302,2207,2421,15397
注：有线广播电视传输干线网络总长包括国家广电总局直属4.09万公里。,,,,,,,,,,2497
数据来源：国家统计局,,,,,,,,,,
